name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0766,8000,30517,0,0,0.0,2,Running,10775596,10778195,10775596.0
openb-pod-0767,32000,49152,0,0,0.0,2,Running,10468928,10469083,10468936.0
openb-pod-0768,32000,49152,0,0,0.0,2,Running,11198291,11198441,11198295.0
openb-pod-0769,12500,65536,0,0,0.0,1,Running,10104296,10104509,10104330.0
openb-pod-0770,12500,57344,0,0,0.0,1,Running,12174364,12174689,12174366.0
openb-pod-0771,12500,57344,0,0,0.0,1,Running,12555824,12556274,12555825.0
openb-pod-0772,16500,51200,0,0,0.0,1,Running,12623967,12624775,12623969.0
openb-pod-0773,20000,65536,0,0,0.0,1,Running,10280529,11556705,10280531.0
openb-pod-0774,12500,57344,0,0,0.0,1,Running,10790555,10790969,10790590.0
openb-pod-0775,12500,57344,0,0,0.0,1,Running,12024331,12024609,12024333.0
openb-pod-0776,12500,57344,0,0,0.0,1,Running,10804257,10804951,10804259.0
openb-pod-0777,15400,51200,0,0,0.0,1,Running,12604095,12604858,12604130.0
openb-pod-0778,12500,57344,0,0,0.0,1,Running,10777556,10777672,10777558.0
openb-pod-0779,16500,51200,0,0,0.0,1,Running,10451105,10464849,10451141.0
openb-pod-0780,15400,51200,0,0,0.0,1,Running,10886314,10886721,10886348.0
openb-pod-0781,12500,57344,0,0,0.0,1,Running,10344402,10344914,10344437.0
openb-pod-0782,12500,57344,0,0,0.0,1,Running,12524197,12524844,12524234.0
openb-pod-0783,15400,51200,0,0,0.0,1,Running,11213911,11219192,11213945.0
openb-pod-0784,15400,51200,0,0,0.0,1,Running,10783498,10783867,10783504.0
openb-pod-0785,15400,51200,0,0,0.0,1,Running,12506673,12506735,12506675.0
openb-pod-0786,12500,57344,0,0,0.0,1,Running,12712654,12712725,12712657.0
openb-pod-0787,12500,57344,0,0,0.0,1,Running,12440247,12440694,12440249.0
openb-pod-0788,32000,49152,0,0,0.0,2,Running,11837656,11837839,11837657.0
openb-pod-0789,12500,57344,0,0,0.0,1,Running,12555175,12555943,12555210.0
openb-pod-0790,12500,57344,0,0,0.0,1,Running,12091107,12091402,12091110.0
openb-pod-0791,8000,15625,0,0,0.0,1,Running,10945540,10945716,10945542.0
openb-pod-0792,12500,57344,0,0,0.0,1,Running,10307522,10308405,10307524.0
openb-pod-0793,16500,51200,0,0,0.0,1,Running,10352776,10354225,10352778.0
openb-pod-0794,32000,49152,0,0,0.0,2,Running,10703545,10703694,10703552.0
openb-pod-0795,32000,49152,0,0,0.0,2,Running,10869964,10870116,10869967.0
openb-pod-0796,12500,57344,0,0,0.0,1,Running,12098531,12099693,12098533.0
openb-pod-0797,16500,51200,0,0,0.0,1,Running,10531868,10531928,10531870.0
openb-pod-0798,16500,51200,0,0,0.0,1,Running,10369742,10372190,10369777.0
openb-pod-0799,15400,51200,0,0,0.0,1,Running,10773256,10782220,10773258.0
openb-pod-0801,12500,57344,0,0,0.0,1,Running,12466424,12466709,12466457.0
openb-pod-0802,8000,31250,0,0,0.0,1,Running,12074121,12075486,12074123.0
openb-pod-0803,32000,49152,0,0,0.0,2,Running,12120894,12121080,12120899.0
openb-pod-0804,12500,57344,0,0,0.0,1,Running,12533608,12534705,12533640.0
openb-pod-0805,20000,65536,0,0,0.0,1,Running,2759674,12902960,2759676.0
openb-pod-0806,16500,51200,0,0,0.0,1,Running,12544282,12546427,12544284.0
openb-pod-0807,12500,57344,0,0,0.0,1,Running,11342524,11343367,11342559.0
openb-pod-0808,8000,30517,0,0,0.0,2,Running,12152043,12168891,12152044.0
openb-pod-0809,16500,51200,0,0,0.0,1,Running,10287684,10287754,10287688.0
openb-pod-0810,8000,30517,0,0,0.0,2,Running,10084399,10085429,10084399.0
openb-pod-0811,8000,30517,0,0,0.0,2,Running,11633655,11651408,11633655.0
openb-pod-0812,12500,57344,0,0,0.0,1,Running,12005711,12005838,12005746.0
openb-pod-0813,12000,24576,0,0,0.0,1,Succeeded,10865134,10865736,10865134.0
openb-pod-0814,32000,49152,0,0,0.0,2,Running,10680596,10680750,10680601.0
openb-pod-0815,12500,57344,0,0,0.0,1,Running,12096979,12098637,12097011.0
openb-pod-0816,12500,57344,0,0,0.0,1,Running,12024305,12024886,12024340.0
openb-pod-0817,8000,30517,0,0,0.0,2,Running,12123216,12126012,12123216.0
openb-pod-0818,32000,49152,0,0,0.0,2,Running,10609831,10609988,10609835.0
openb-pod-0819,32000,49152,0,0,0.0,2,Running,11316323,11316474,11316326.0
openb-pod-0820,11400,57344,0,0,0.0,1,Running,10711456,10713026,10711492.0
openb-pod-0821,32000,49152,0,0,0.0,2,Running,10797856,10798007,10797861.0
openb-pod-0822,32000,49152,0,0,0.0,2,Running,11907942,11908127,11907946.0
openb-pod-0823,12500,57344,0,0,0.0,1,Running,10468950,10469029,10468952.0
openb-pod-0824,8000,30517,0,0,0.0,2,Running,11777614,11779521,11777614.0
openb-pod-0825,12500,57344,0,0,0.0,1,Running,10462683,10462787,10462718.0
openb-pod-0826,32000,62500,0,0,0.0,1,Running,11706745,11708242,11706746.0
openb-pod-0828,12500,57344,0,0,0.0,1,Running,10804255,10804803,10804257.0
openb-pod-0829,15400,51200,0,0,0.0,1,Running,12617967,12619750,12617968.0
